Congruent,Incongruent,,,,
8.63,15.687,,-7.057,0.82408571,
8.987,17.394,,-8.407,0.19554821,
9.401,17.425,,-8.024,0.003505627,
9.564,17.51,,-7.946,0.000353127,
10.639,17.96,,-7.321,0.41446771,
11.344,18.644,,-7.3,0.44194796,
12.079,18.741,,-6.662,1.697266127,
12.13,19.278,,-7.148,0.667148627,
12.238,20.33,,-8.092,0.01618196,
12.369,20.429,,-8.06,0.009064627,
12.944,20.762,,-7.818,0.021547793,
14.233,20.878,,-6.645,1.741850043,
14.48,21.157,,-6.677,1.658407377,
14.669,21.214,,-6.545,2.015808377,
14.692,22.058,,-7.366,0.35855146,
15.073,22.158,,-7.085,0.774033377,
15.298,22.803,,-7.505,0.211408377,
16.004,23.894,,-7.89,0.005593793,
16.791,24.524,,-7.733,0.053727377,
16.929,24.572,,-7.643,0.103549877,
18.2,25.139,,-6.939,1.052248543,
18.495,26.282,,-7.787,0.031609877,
19.71,34.288,,-14.578,43.73452446,
22.328,35.255,,-12.927,24.62351154,
,,,,,
,,,,,
14.051125,22.01591667,,-7.964791667,1.872639871,0.382251013
3.484415713,4.696055135,,,,
